Time,Pressure,Concentration
(s),(psi),(mM)
1695,60.637,71.75033951
1700,60.639,72.17574302
1705,60.639,72.19222333
1710,60.641,72.21487274
1715,60.642,72.27488927
1720,60.646,72.64186259
1725,60.646,72.74171388
1730,60.647,72.7764371
1735,60.648,72.82719998
1740,60.65,72.98574585
1745,60.652,73.30151564
1750,60.653,73.30856604
1755,60.653,73.33685577
1760,60.656,73.39731295
1765,60.657,73.83769856
1770,60.659,73.83813921
1775,60.659,73.87048292
1780,60.663,73.91560548
1785,60.663,74.29888285
1790,60.663,74.38912797
1795,60.665,74.37573221
1800,60.667,74.42993216
1805,60.667,74.56239155
1810,60.669,74.91967057
1815,60.671,74.91667415
1820,60.673,74.94205559
1825,60.674,74.98999831
1830,60.678,75.42597742
1835,60.678,75.45135886
1840,60.68,75.46449023
1845,60.68,75.50115231
1850,60.682,75.94850019
1855,60.683,75.98657235
1860,60.684,75.97537984
1865,60.685,75.98533853
1870,60.687,76.2135071
1875,60.688,76.47155174
1880,60.689,76.49984147
1885,60.689,76.48829644
1890,60.691,76.51746747
1895,60.693,76.95300593
1900,60.694,76.99777597
1905,60.695,77.01963221
1910,60.696,77.03954959
1915,60.696,77.43454825
1920,60.698,77.47632187
1925,60.7,77.53827726
1930,60.701,77.54656148
1935,60.702,77.69779256
1940,60.702,77.97143621
1945,60.704,78.03585924
1950,60.704,78.02616494
1955,60.704,78.01497243
1960,60.707,78.4308579
1965,60.708,78.52286562
1970,60.709,78.54727763
1975,60.709,78.56543241
1980,60.709,78.92165387
1985,60.712,78.99277478
1990,60.713,79.02035947
1995,60.712,79.02899621
2000,60.713,79.11307223
2005,60.715,79.46797174
2010,60.716,79.53415737
2015,60.716,79.55724743
2020,60.716,79.55284093
2025,60.719,79.926424
2030,60.718,79.96855014
2035,60.719,80.0286548
2040,60.72,80.04531137
2045,60.722,80.3785309
2050,60.722,80.43202581
2055,60.723,80.48913405
2060,60.724,80.52324036
2065,60.726,80.61524808
2070,60.726,80.89285758
2075,60.727,80.94053591
2080,60.728,80.992797
2085,60.728,80.98054693
2090,60.73,81.33271441
2095,60.73,81.3955511
2100,60.731,81.46852274
2105,60.731,81.47416306
2110,60.732,81.80385739
2115,60.732,81.83928565
2120,60.734,81.89516007
2125,60.735,81.94151645
2130,60.736,82.14694748
2135,60.735,82.28733857
2140,60.736,82.33272552
2145,60.736,82.39194888
2150,60.737,82.38472222
2155,60.738,82.76227114
2160,60.738,82.77452121
2165,60.739,82.81118329
2170,60.739,82.87331494
2175,60.74,83.22521803
2180,60.741,83.21094097
2185,60.742,83.26813734
2190,60.743,83.33670248
2195,60.742,83.52468377
2200,60.743,83.69556784
2205,60.744,83.68411094
2210,60.743,83.77003769
2215,60.745,83.74518503
2220,60.744,84.16433131
2225,60.745,84.13137069
2230,60.746,84.17966593
2235,60.747,84.24144506
2240,60.746,84.56162135
2245,60.747,84.61379431
2250,60.747,84.58744344
2255,60.747,84.65495102
2260,60.748,84.93326556
2265,60.748,85.0265071
2270,60.748,85.05717634
2275,60.749,85.06598934
2280,60.748,85.13208684
2285,60.75,85.46513011
2290,60.749,85.48328489
2295,60.749,85.50478861
2300,60.75,85.53105135
2305,60.749,85.89264874
2310,60.75,85.92005717
2315,60.749,85.91899961
2320,60.75,85.90798336
2325,60.749,86.16734995
2330,60.749,86.35665319
2335,60.748,86.36238164
2340,60.75,86.36282229
2345,60.75,86.36590684
2350,60.749,86.74248633
2355,60.749,86.80549928
2360,60.75,86.77747394
2365,60.75,86.82444723
2370,60.749,87.14277279
2375,60.749,NaN
2380,60.75,NaN
2385,60.751,NaN
2390,60.749,NaN
2395,60.75,NaN
2400,60.75,NaN
2405,60.75,NaN
2410,60.751,NaN
2415,60.751,NaN
2420,60.751,NaN
2425,60.751,NaN
2430,60.751,NaN
2435,60.75,NaN
2440,60.751,NaN
2445,60.75,NaN
2450,60.751,NaN
2455,60.75,NaN
2460,60.751,NaN
2465,60.752,NaN
2470,60.751,NaN
2475,60.75,NaN
2480,60.75,NaN
2485,60.751,NaN
2490,60.751,NaN
2495,60.751,NaN
2500,60.751,NaN
2505,60.75,NaN
2510,60.751,89.65192202
2515,60.75,89.74745494
2520,60.75,89.76120322
2525,60.751,89.77556841
2530,60.749,90.03916524
2535,60.75,90.10728973
2540,60.749,90.18440348
2545,60.751,90.1944503
2550,60.75,90.45416941
2555,60.75,90.47276484
2560,60.751,90.54749908
2565,60.75,90.58583563
2570,60.75,90.77196619
2575,60.749,90.87005488
2580,60.749,90.93095271
2585,60.749,90.97854291
2590,60.749,91.01696759
2595,60.748,91.26919565
2600,60.748,91.27087012
2605,60.747,91.35494614
2610,60.746,91.38182579
2615,60.748,91.64965286
2620,60.746,91.65714391
2625,60.746,91.71786548
2630,60.744,91.79691809
2635,60.746,91.85957852
2640,60.746,92.06536207
2645,60.74,92.09761765
2650,60.698,92.15102443
2655,60.65,92.19553008
2660,60.596,92.42405117
2665,60.57,92.4479344
2670,60.566,92.51553011
2675,60.565,92.57378404
2680,60.566,92.590705
2685,60.567,92.57616355
2690,60.567,92.83764526
2695,60.567,92.9132608
2700,60.569,92.97186725
2705,60.568,92.99971633
2710,60.569,93.20259159
2715,60.547,93.24894797
2720,60.498,93.33972187
2725,60.442,93.36466266
2730,60.4,93.38158362
2735,60.395,93.41110717
2740,60.397,93.68572025
2745,60.399,93.74229971
2750,60.398,93.7549023
2755,60.399,93.75869189
2760,60.402,93.83078223
2765,60.404,94.08697614
2770,60.406,94.12275692
2775,60.406,94.14470129
2780,60.407,94.15651071
2785,60.409,94.43508964
2790,60.41,94.48832016
2795,60.412,94.50162779
2800,60.414,94.50638681
2805,60.413,94.71534304
2810,60.416,94.83282033
2815,60.417,94.86639786
2820,60.418,94.88199687
2825,60.42,94.91962838
2830,60.421,95.1614571
2835,60.421,95.24121475
2840,60.423,95.26641993
2845,60.425,95.28968625
2850,60.426,95.50771987
2855,60.426,95.57804761
2860,60.429,95.63180691
2865,60.416,95.61770611
2870,60.383,95.76294435
2875,60.348,95.95383393
2880,60.314,95.98036106
2885,60.289,95.99128918
2890,60.289,96.02433793
2895,60.293,96.06734537
2900,60.295,96.33623
2905,60.296,96.37553598
2910,60.298,96.36663485
2915,60.298,96.41951285
2920,60.3,96.61066682
2925,60.264,96.70117633
2930,60.155,96.73087614
2935,60.15,96.72250379
2940,60.154,96.78146276
2945,60.157,96.83918791
2950,60.161,97.07229176
2955,60.161,97.06198055
2960,60.164,97.11670928
2965,60.167,97.1602455
2970,60.168,97.18879962
2975,60.172,97.45318962
2980,60.174,97.43618053
2985,60.175,97.50545071
2990,60.179,97.55101392
2995,60.181,97.76869502
3000,60.184,97.80086247
3005,60.186,97.8185766
3010,60.187,97.8855554
3015,60.19,98.04145737
3020,60.194,98.16589693
3025,60.196,98.15126735
3030,60.198,98.19004455
3035,60.201,98.24635962
3040,60.203,98.46756592
3045,60.205,98.47470445
3050,60.206,98.47646705
3055,60.209,98.53216521
