0	0	3658.11	8.232	0
5	0	3655.19	8.301	0
10	0	3656.06	8.305	0
15	0	3656.48	8.305	0
20	0	3655.78	8.302	0
25	0	3656.49	8.301	0
30	0	3658.2	8.297	0
35	0	3659.63	8.294	0
40	-0.02	3658.4	8.291	0
45	-0.01	3658.37	8.189	0
50	0	3659.72	8.189	0
55	0	NaN	8.188	0
60	-0.01	NaN	8.186	0
65	0	NaN	8.184	0
70	0	NaN	8.182	0
75	0	NaN	8.178	0
80	0	NaN	16.157	0
85	0	NaN	51.303	0
90	0	NaN	52.555	0
95	0	NaN	52.697	0
100	0	NaN	52.782	0
105	0	NaN	52.843	0
110	0	NaN	52.882	0
115	0	NaN	52.909	0
120	0	NaN	52.927	0
125	0	NaN	52.938	0
130	0	NaN	52.945	0
135	0	NaN	52.948	0
140	0	NaN	52.95	0
145	0	NaN	52.951	0
150	0	NaN	52.951	0
155	0	NaN	52.947	0
160	0	NaN	52.945	0
165	0	NaN	52.942	0
170	0	NaN	52.939	0
175	0	NaN	52.934	0
180	0	NaN	52.931	0
185	0	NaN	52.926	0
190	0	3498.44	52.923	0
195	0	3502.21	52.917	0
200	0	3476.91	52.913	0
205	0	3475.84	52.908	0
210	0	3478.57	52.902	0
215	0	3482.24	52.897	0
220	0	3485.27	52.891	0
225	0	3487.79	52.885	0
230	0	3459.73	52.881	0
235	0	3462.56	52.876	0
240	0	3466.12	52.871	0
245	0	3469.14	52.864	0
250	0	3469.69	52.858	0
255	0	3433.74	52.854	0
260	0	3446.18	52.849	0
265	0	3449.66	52.843	0
270	0	3450.95	52.838	0
275	0	3452.82	52.833	0
280	0	3456.44	52.827	0
285	0	3430.34	52.823	0
290	0	3432.25	52.817	0
295	0	3434.13	52.813	0
300	0	3435.78	52.81	0
305	0	3439.65	52.803	0
310	0	3397.31	52.799	0
315	0	3415.11	52.794	0
320	0.02	3416.51	52.79	0
325	0.03	3421.58	52.786	0
330	0.06	3423.62	52.781	0
335	0.06	3411.05	52.778	0
340	0.08	3397.98	52.774	0
345	0.1	3400.81	52.769	0
350	0.1	3404.72	52.765	0
355	0.14	3407.37	52.762	0
360	0.14	3408.32	52.755	0
365	0.17	3381.58	56.267	0
370	0.18	3263.7	56.269	0
375	0.23	3243.83	56.272	0
380	0.23	3237.56	56.275	0
385	0.23	3233	56.274	0
390	0.28	3228.98	56.276	0
395	0.28	3225.32	56.279	0
400	0.33	3221.26	56.279	0
405	0.33	3220.72	56.278	0
410	0.38	3223.93	56.279	0
415	0.38	3226.44	56.278	0
420	0.39	3230.36	56.281	0
425	0.42	3204.68	56.282	0
430	0.43	3207.59	56.281	0
435	0.47	3210.43	56.284	0
440	0.47	3213.88	56.284	0
445	0.52	3216.33	56.283	0
450	0.52	3193.55	56.285	0
455	NaN	3193.59	56.285	0
460	0.57	3196.71	56.285	0
465	0.58	3199.46	56.286	0
470	0.62	3202.21	56.286	0
475	0.62	3190.39	56.287	0
480	0.67	3179.64	56.287	0
485	0.68	3182.75	56.287	0
490	0.67	3184.47	56.286	0
495	0.72	3187.02	56.286	0
500	0.72	3172.48	56.287	0
505	0.77	3165.67	56.286	0
510	0.77	3169.62	56.286	0
515	0.82	3169.83	56.286	0
520	0.83	3172.06	56.284	0
525	0.83	3159.22	56.286	0
530	0.87	3152.67	56.286	0
535	0.88	3154.9	56.286	0
540	0.93	3155.74	56.285	0
545	0.92	3158.09	56.283	0
550	0.93	3141.51	56.284	0
555	0.98	3138.1	56.283	0
560	0.98	3139.31	56.283	0
565	1.02	3140.57	56.282	1
570	1.03	3144.69	56.281	0
575	1.03	3132.53	56.282	0
580	1.04	3124.21	56.281	0
585	1.08	3125.09	56.28	0
590	1.09	3127.88	56.279	0
595	1.14	3131.21	56.278	0
600	1.14	3129.23	56.279	0
605	1.18	3109.73	56.277	0
610	1.18	3111.61	56.275	0
615	1.23	3114.31	56.277	0
620	1.23	3117.57	56.274	0
625	1.23	3119.89	56.274	0
630	1.28	3095.27	56.273	0
635	1.28	3097.37	56.272	0
640	1.33	3100.74	56.271	0
645	1.33	3103.71	56.27	0
650	1.38	3105.55	56.269	0
655	1.37	3080.9	56.269	0
660	1.38	3083.55	56.269	0
665	1.43	3087.19	56.267	0
670	1.43	3089.52	56.267	0
675	1.47	3089.92	56.266	0
680	1.48	3068.56	56.264	0
685	1.48	3070.54	56.262	0
690	1.52	3073.3	56.261	0
695	1.52	3075.42	56.259	0
700	1.57	3077.63	56.258	0
705	1.57	3054.89	56.256	0
710	1.62	3057.58	56.253	0
715	1.62	3058.99	56.249	0
720	1.62	3060.81	56.248	0
725	1.67	3063.48	56.247	0
730	1.68	3042.36	56.244	0
735	1.73	3043.57	56.244	0
740	1.73	3045.25	56.243	0
745	1.73	3047.44	56.242	0
750	1.78	3050.35	56.244	0
755	1.78	3028.51	56.245	0
760	1.82	3029.9	56.243	0
765	1.82	3030.95	56.241	0
770	1.82	3033.36	56.241	0
